           ,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,produksi_jengkol,satuan,tahun
75,32,JAWA BARAT,3273,KOTA BANDUNG,2,KUINTAL,2015
76,32,JAWA BARAT,3274,KOTA CIREBON,4,KUINTAL,2015
77,32,JAWA BARAT,3275,KOTA BEKASI,54,KUINTAL,2015
78,32,JAWA BARAT,3276,KOTA DEPOK,0,KUINTAL,2015
79,32,JAWA BARAT,3277,KOTA CIMAHI,0,KUINTAL,2015
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,13,KUINTAL,2015
81,32,JAWA BARAT,3279,KOTA BANJAR,134,KUINTAL,2015
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,4791,KUINTAL,2016
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2209,KUINTAL,2016
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3057,KUINTAL,2016
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1629,KUINTAL,2016
86,32,JAWA BARAT,3205,KABUPATEN GARUT,2796,KUINTAL,2016
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,8296,KUINTAL,2016
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,6390,KUINTAL,2016
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,3416,KUINTAL,2016
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,138,KUINTAL,2016
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,3480,KUINTAL,2016
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2334,KUINTAL,2016
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,138,KUINTAL,2016
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,6018,KUINTAL,2016
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,6104,KUINTAL,2016
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,30276,KUINTAL,2016
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,14,KUINTAL,2016
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,870,KUINTAL,2016
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,1470,KUINTAL,2016
100,32,JAWA BARAT,3271,KOTA BOGOR,724,KUINTAL,2016
101,32,JAWA BARAT,3272,KOTA SUKABUMI,0,KUINTAL,2016
102,32,JAWA BARAT,3273,KOTA BANDUNG,0,KUINTAL,2016
103,32,JAWA BARAT,3274,KOTA CIREBON,4,KUINTAL,2016
104,32,JAWA BARAT,3275,KOTA BEKASI,34,KUINTAL,2016
105,32,JAWA BARAT,3276,KOTA DEPOK,0,KUINTAL,2016
106,32,JAWA BARAT,3277,KOTA CIMAHI,0,KUINTAL,2016
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,11,KUINTAL,2016
108,32,JAWA BARAT,3279,KOTA BANJAR,69,KUINTAL,2016
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,8865,KUINTAL,2017
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1753,KUINTAL,2017
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,5577,KUINTAL,2017
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2855,KUINTAL,2017
113,32,JAWA BARAT,3205,KABUPATEN GARUT,4518,KUINTAL,2017
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,7910,KUINTAL,2017
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,4163,KUINTAL,2017
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,3785,KUINTAL,2017
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,271,KUINTAL,2017
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,3075,KUINTAL,2017
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,6888,KUINTAL,2017
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,122,KUINTAL,2017
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,3618,KUINTAL,2017
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,7145,KUINTAL,2017
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,9452,KUINTAL,2017
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,601,KUINTAL,2017
